Количество	Запрос
4445	завод за день выпустил с конвейера 75 машин 60 процентов
4314	за 8 минут самолёт двигаясь с одинаковой скоростью пролетел 96 км
3835	в мастерской сшили 120 спальных мешков за 6 дней
2339	в типографии за день отпечатали 3600 книг четвёртую часть
1705	экскаватором можно выкопать за 1 час канаву длиной 20 м
1703	автобус за 8 часов работы расходует 48 литров сколько за 6 часов
1608	за 8 дней туристы-велосипедисты проехали 240 км
1589	магазин за 3 дня продал 1240.8 кг сахара
1523	машина прошла первый участок пути за 3 часа а второй участок за 2 часа
1309	игорь и паша красят забор за 10 часов паша и володя за 12 часов
1300	автобус за 8 часов работы расходует 48 литров ответ
1204	за 32 минуты дежурный по кухне очистил 20 картофелин
1202	первый цех выпускает 640 деталей за 4 часа
1186	два водителя сделали за день 8 рейсов на одинаковых самосвалах
1164	игорь и паша красят забор за 18 часов паша и володя за 24 часа
1133	автобус за 8 часов работы расходует 48 литров топлива
1051	завод за день выпустил с конвейера 75 машин шестьдесят ответ аватария
1035	магазин за 3 дня продал 1240.8 кг сахара в первый день было продано
1035	папа с сыном поехали на экскурсию на велосипедах за 3 дня
1019	мастер может отштамповать 480 деталей за 4 часа
1016	бегун пробежал 100 метров за 10 секунд найдите среднюю скорость бегуна
1016	половину пути от дома до школы мальчик прошел за 15 минут
942	швейная мастерская изготавливает 15 штор за 2 часа
860	в пекарне за 3 дня израсходовали 48 мешков муки обратную данной
855	в пекарне за 3 дня израсходовали 48 мешков муки
784	первый и второй насосы наполняют бассейн за 10 минут второй и третий
737	папа с сыном поехали на экскурсию на велосипедах.за 3 дня они проехали
736	валя и галя пропалывают грядку за 8 минут а одна галя за 10 минут
716	оля за час раскрашивает 1м2 задника сцены
695	мастер и ученик сделали партию деталей за 3 часа
695	путь от дома до магазина мальчик прошел за 12 минут
689	если велосипедист проезжает путь равный 25 метрам за 5 секунд
689	первый землекоп может вскопать грядку за 1 час второй землекоп может
679	туристы каждый день проходили одно и то же расстояние за неделю
675	бассейн наполняется двумя трубами действующими одновременно за 2 часа
664	первый цех выпускает 450 деталей за 3 часа
653	один рабочий изготавливал за день 23 детали а другой 21 деталь
638	в прошлом году из-за плохой погоды за 10 дней туристы преодолели треть горы
636	товарный поезд за 6 часов прошел 240 км а пассажирский за 5 часов
626	первый рабочий за час делает на 5 деталей больше чем второй рабочий
625	лыжник может пройти расстояние в 20 км за 2 часа
624	черепаха за 3 минуты может проползти 15 метров а слон за это же время
605	два тракториста вспахали поле за 6 часов совместной работы
601	один трубоукладчик уложил 192 м труб за 24 часа
599	игорь и паша красят забор за 12 часов паша и володя за 15 часов
555	в пачке 500 листов бумаги формата а4 за неделю расходуется 1200 листов
547	две бригады работая вместе могут выполнить работу за 12 часов
546	путешественник проехал 720 км за день что составило 5/9 всего пути
538	велосипедист проехал за час 12 км
536	в киоске было 40 тетрадей из них за день продали в клетку три восьмых
527	рабочий может выполнить весь заказ за 3 часа а ученик за 7 часов
525	швея может выполнить заказ за 3 дня а её ученица за 6 дней
514	через первую трубу бассейн наполняется за 20 часов
511	грузовая машина расходует за 1 час работы 15 л горючего
490	за 8 минут самолет двигаясь с одинаковой скоростью пролетел 96 км
478	двое рабочих работая вместе могут выполнить работу за 12 дней
469	какой угол описывает минутная стрелка за 10 минут
451	автомобиль проехал 17 км за 15 минут сколько км он проедет за 18 мин
443	грузовая машина проезжает расстояние между двумя городами за 30 часов
430	первая бригада выполняет 16 кв м кирпичной кладки за 8 часов
424	в прошлом году из за плохой погоды за 10 дней туристы
418	какой угол (в градусах) описывает часовая стрелка за 2 минуты?
411	сможет ли поезд пройти 300 км за 7 часов если он будет двигаться
409	при совместной работе мастер и его ученик за 2 часа
398	каменщики антон и петр выкладывают один кирпичный забор за 8 часов
392	завод за день выпустил с конвейера 75 машин 60 процентов аватария
389	дима и саша красят забор за 10 часов. саша и володя красят этот же забор за 15 часов, а володя и дима – за 24 часа. за сколько минут мальчики покрасят забор, работая втроем?
387	за 12 секунд автобус проезжает 200 м
381	3 курицы за 3 дня снесли 3 яйца.сколько яиц снесут 12 кур за 12 дней
379	даша и маша пропалывают грядку за 12 минут а одна маша за 20 минут
373	скорость всадника в 3 раза меньше скорости автомобиля за 5 часов
371	оля за час раскрашивает 1м2 задника сцены а оксана 2м2
368	в прошлом году из-за плохой погоды за 10 дней туристы
365	улитка за день залезает вверх по дереву на 3 м а ночью спускается на 2
358	по течению катер прошёл 150 км за 5 часов
357	за день до спектакля через кассы театра продано 330 билетов
349	аня прочитала за 6 минут 4 страницы книги сколько страниц
349	велосипедист за 4 часа проехал 48 км на обратном пути
342	жир на животе уходит за 4 дня если смешать соду и
336	одна бригада рабочих делает за 12 дней 1512 деталей другая 1260
335	в прошлом году из за плохой погоды за 10 дней туристы преодолели треть горы
324	вася загружает на свой компьютер файл размером 30 мб за 28 секунд
316	пользуясь рисунком на с 146 вычислите какую работу совершает за 1 час
312	борзая собака пробегает 1500 м за 1 минуту
310	за 32 минуты дежурный по кухне очистил 20 картофелин сколько
306	токарь за час изготавливает 90 деталей а его ученик 60
305	один мастер может выполнить заказ за 12 часов а другой за 6 часов
300	турист проходит 6 км за 1 час сколько метров он проходит за 1 минуту
293	грузовая машина за 8 часов прошла 280 км а легковая машина
292	таксист за месяц проехал 6000 км стоимость 1 л бензина 20 рубля
290	первый рабочий за час делает на 6 деталей больше чем второй рабочий
288	мальчики побежали наперегонки за 15 секунд
285	иван сдаёт нормы гто. для бега на дистанцию в 3 километра ему дали три попытки. первый раз иван пробежал за 13 минут и 50 секунд. второй раз — за 14 минут и 30 секунд. перед третьим забегом иван отпил воды, внушил себе, что это допинг, и в итоге показал время в 13 минут и 10 секунд. найдите среднюю скорость движения ивана к заветному значку. ответ дайте в километрах в час, округлив до первого знак
281	два тракториста вспахали поле за 4 дня
279	автомобиль должен проехать за 3 дня 1430 км
279	велосипедист за 3 часа проехал 57 км а мотоциклист за 2 часа
278	мотоциклист за 7 часов проехал 560 км за какое время он проедет 280 км
278	одна машинистка за 1 час печатает 12 страниц другая 15
276	на сколько градусов повернется земля вокруг своей оси за 7 часов?
271	грузовая машина проезжает расстояние между двумя городами за 18 часов
270	игорь и паша красят забор за 20 часов паша и володя за 24 часа
270	лес площадью 3 га поглощает за 1 час 24 кг углекислого газа
267	скорость аэросаней в 4 раза больше скорости лыжника за 3 часа
266	таксист за месяц проехал 9000 км стоимость 1 литра бензина 30 рублей
264	на сколько градусов повернется земля вокруг своей оси за 7 часов
