Count;Id;Label;Type;Bastard;Non-cyrillic
2802;за;за;PR;False;False
1260;час;час;S;False;False
708;день;день;S;False;False
571;минута;минута;S;False;False
548;в;в;PR,S;False;False
538;км;км;S;False;False
489;на;на;PR;False;False
473;сколько;сколько;ADV,CONJ;False;False
375;а;а;CONJ,S,PART;False;False
340;первый;первый;ANUM;False;False
328;проходить;проходить;V;False;False
320;и;и;CONJ;False;False
294;два;два;NUM;False;False
292;один;один;APRO,ANUM;False;False
290;выполнять;выполнять;V;False;False
280;мочь;мочь;V;False;False
256;проехать;проехать;V;False;False
254;работа;работа;S;False;False
232;какой;какой;APRO;False;False
228;если;если;CONJ;False;False
227;скорость;скорость;S;False;False
224;второй;второй;ANUM;False;False
211;рабочий;рабочий;S,A;False;False
209;он;он;SPRO;False;False
200;с;с;PR,S;False;False
185;расстояние;расстояние;S;False;False
184;секунда;секунда;S;False;False
180;по;по;PR;False;False
171;работать;работать;V;False;False
166;до;до;PR,S;False;False
156;месяц;месяц;S;False;False
139;этот;этот;APRO;False;False
138;деталь;деталь;S;False;False
138;из;из;PR;False;False
130;быть;быть;V;False;False
129;же;же;PART;False;False
128;весь;весь;APRO;False;False
127;что;что;CONJ,SPRO;False;False
122;чем;чем;CONJ;False;False
119;бассейн;бассейн;S;False;False
117;вместе;вместе;ADV;False;False
107;много;много;ADV;False;False
107;путь;путь;S;False;False
106;задача;задача;S;False;False
104;наполнять;наполнять;V;False;False
104;поезд;поезд;S;False;False
102;бригада;бригада;S;False;False
100;неделя;неделя;S;False;False
99;автомобиль;автомобиль;S;False;False
99;труба;труба;S;False;False
96;м;м;S;False;False
86;вода;вода;S;False;False
86;делать;делать;V;False;False
86;от;от;PR;False;False
84;ч;ч;S;False;False
82;заказ;заказ;S;False;False
81;кг;кг;S;False;False
80;одинаковый;одинаковый;A;False;False
80;турист;турист;S;False;False
79;метр;метр;S;False;False
77;велосипедист;велосипедист;S;False;False
76;решать;решать;V;False;False
75;мастер;мастер;S;False;False
75;находить;находить;V;False;False
74;машина;машина;S;False;False
74;между;между;PR;False;False
74;ученик;ученик;S;False;False
74;через;через;PR;False;False
73;количество;количество;S;False;False
70;насос;насос;S;False;False
70;три;три;NUM;False;False
69;время;время;S;False;False
68;ответ;ответ;S;False;False
65;город;город;S;False;False
65;другой;другой;APRO;False;False
65;известно;известно;ADV;False;False
65;который;который;APRO;False;False
65;литр;литр;S;False;False
65;при;при;PR;False;False
65;проезжать;проезжать;V;False;False
63;определять;определять;V;False;False
63;поле;поле;S;False;False
63;со;со;PR;False;False
59;для;для;PR;False;False
59;как;как;ADVPRO,CONJ;False;False
59;тот;тот;APRO;False;False
58;быстро;быстро;ADV;False;False
58;они;они;SPRO;False;False
58;страница;страница;S;False;False
57;километр;километр;S;False;False
57;решение;решение;S;False;False
57;средний;средний;A;False;False
56;рубль;рубль;S;False;False
56;то;то;CONJ,SPRO,PART;False;False
55;забор;забор;S;False;False
55;не;не;PART;False;False
55;самолет;самолет;S;False;False
54;двигаться;двигаться;V;False;False
54;длина;длина;S;False;False
54;можно;можно;ADV;False;False
54;она;она;SPRO;False;False
54;раз;раз;S;False;False
54;составлять;составлять;V;False;False
53;каждый;каждый;APRO;False;False
53;красить;красить;V;False;False
53;сделать;сделать;V;False;False
52;его;его;APRO;False;False
52;магазин;магазин;S;False;False
52;продавать;продавать;V;False;False
52;течение;течение;S;False;False
51;такой;такой;APRO;False;False
50;стрелка;стрелка;S;False;False
49;к;к;PR,S;False;False
49;мало;мало;ADV,NUM;False;False
48;автобус;автобус;S;False;False
47;пробежать;пробежать;V;False;False
46;пролететь;пролететь;V;False;False
46;это;это;SPRO,PART;False;False
45;бак;бак;S;False;False
45;двое;двое;NUM;False;False
44;вспахивать;вспахивать;V;False;False
44;часть;часть;S;False;False
43;градус;градус;S;False;False
43;идти;идти;V;False;False
43;катер;катер;S;False;False
42;должный;должный;A;False;False
42;задание;задание;S;False;False
42;расходоваться;расходоваться;V;False;False
41;бензин;бензин;S;False;False
41;некоторый;некоторый;APRO;False;False
41;описывать;описывать;V;False;False
41;свой;свой;APRO;False;False
41;съедать;съедать;V;False;False
41;третий;третий;ANUM;False;False
40;игорь;игорь;S;False;False
40;изготавливать;изготавливать;V;False;False
40;израсходовать;израсходовать;V;False;False
40;наполняться;наполняться;V;False;False
40;одновременно;одновременно;ADV;False;False
40;пачка;пачка;S;False;False
40;паша;паша;S;False;False
40;печатать;печатать;V;False;False
40;угол;угол;S;False;False
40;человек;человек;S;False;False
39;расходовать;расходовать;V;False;False
39;совместный;совместный;A;False;False
38;володя;володя;S;False;False
38;кран;кран;S;False;False
38;равный;равный;A;False;False
38;таксист;таксист;S;False;False
37;завод;завод;S;False;False
37;мальчик;мальчик;S;False;False
37;улитка;улитка;S;False;False
36;теплоход;теплоход;S;False;False
35;книга;книга;S;False;False
35;проплывать;проплывать;V;False;False
34;маленький;маленький;A;False;False
34;пешеход;пешеход;S;False;False
34;прочитывать;прочитывать;V;False;False
33;ехать;ехать;V;False;False
33;купить;купить;V;False;False
33;часы;часы;S;False;False
32;лист;лист;S;False;False
32;мотоциклист;мотоциклист;S;False;False
31;бумага;бумага;S;False;False
31;во;во;PR;False;False
31;давать;давать;V;False;False
31;л;л;S;False;False
31;поездка;поездка;S;False;False
30;билет;билет;S;False;False
30;выпускать;выпускать;V;False;False
29;год;год;S;False;False
29;лодка;лодка;S;False;False
29;нужно;нужно;ADV;False;False
29;покрасить;покрасить;V;False;False
28;аня;аня;S;False;False
28;бы;бы;PART;False;False
28;дерево;дерево;S;False;False
28;дом;дом;S;False;False
28;заканчивать;заканчивать;V;False;False
28;машинистка;машинистка;S;False;False
28;потратить;потратить;V;False;False
28;река;река;S;False;False
28;теплота;теплота;S;False;False
28;формат;формат;S;False;False
27;выкапывать;выкапывать;V;False;False
27;загадка;загадка;S;False;False
27;минутный;минутный;A;False;False
27;тест;тест;S;False;False
26;большой;большой;A;False;False
26;вверх;вверх;ADV;False;False
26;велосипед;велосипед;S;False;False
26;гений;гений;S;False;False
26;заполнять;заполнять;V;False;False
26;токарь;токарь;S;False;False
26;цена;цена;S;False;False
26;экскаватор;экскаватор;S;False;False
25;дима;дима;S;False;False
24;билл;билл;S;False;False
24;гейтс;гейтс;S;False;False
24;ночь;ночь;S;False;False
24;преодолевать;преодолевать;V;False;False
24;проездной;проездной;A;False;False
23;ли;ли;PART;False;False
23;маляр;маляр;S;False;False
23;мастерская;мастерская;S;False;False
23;мимо;мимо;PR;False;False
23;мощность;мощность;S;False;False
23;напечатать;напечатать;V;False;False
23;после;после;PR,ADV;False;False
23;среднее;среднее;S;False;False
23;стоимость;стоимость;S;False;False
23;сшивать;сшивать;V;False;False
23;часовой;часовой;A;False;False
22;землекоп;землекоп;S;False;False
22;маша;маша;S;False;False
22;отвечать;отвечать;V;False;False
22;пункт;пункт;S;False;False
22;трактор;трактор;S;False;False
22;чтобы;чтобы;CONJ;False;False
21;вы;вы;SPRO;False;False
21;отдельно;отдельно;ADV;False;False
21;петя;петя;S;False;False
21;совершать;совершать;V;False;False
21;яйцо;яйцо;S;False;False
20;harvard;harvard;None;False;True
20;university;university;None;False;True
20;выпускник;выпускник;S;False;False
20;гарвард;гарвард;S;False;False
20;доезжать;доезжать;V;False;False
20;изготовление;изготовление;S;False;False
20;канава;канава;S;False;False
20;моторный;моторный;A;False;False
20;против;против;PR;False;False
20;сахар;сахар;S;False;False
20;снести;снести;V;False;False
